key,value_right
0,0.18513292883861965
1,0.5419009473783581
2,0.8729458358764083
3,0.7322248864095612
4,0.8065611478614497
5,0.6587833667107174
6,0.6922765645178525
7,0.8491956515653193
8,0.24966800885918594
9,0.4894249636431405
10,0.22120944181960223
11,0.987668007996647
12,0.9440593396866133
13,0.0394268113685059
14,0.7055751725156885
15,0.9252483174156658
16,0.18057534512733353
17,0.5679452305526295
18,0.9154882975880418
19,0.03394597858579884
20,0.6974202672468399
21,0.29734900737255077
22,0.9243961953765304
23,0.9710582451653678
24,0.9442664891134339
25,0.47421421665746377
26,0.8620426509893134
27,0.8445493985350704
28,0.31910047324325563
29,0.8289154741506773
30,0.03700763471549262
31,0.596269878482053
32,0.23000883728770305
33,0.12056688577727881
34,0.07695320162920916
35,0.6962887758781398
36,0.33987496376806614
37,0.7247667715287615
38,0.06535634079894237
39,0.31529033783061033
40,0.5394912923753372
41,0.7907231648389635
42,0.3187525029320699
43,0.6258913764370091
44,0.8859777482361871
45,0.6158631881823046
46,0.23295947475363377
47,0.02440078155653802
48,0.8700988739009299
49,0.021269410850387138
50,0.8747016726841994
51,0.528937134027212
52,0.9390676985128962
53,0.7987832357736654
54,0.9979341105333375
55,0.35071181545171015
56,0.7671882889311269
57,0.40193091360924216
58,0.47987562030390885
59,0.6275054632183701
60,0.8736771141863388
61,0.9840834691992951
62,0.7682734138645182
63,0.41776678216733376
64,0.4213570022770702
65,0.7375823015888915
66,0.23877714576830233
67,0.11047411313139466
68,0.35462215764077654
69,0.28723899165408173
70,0.2963081204559901
71,0.23360775104990994
72,0.04209318963636188
73,0.01787393473341381
74,0.9877223897360315
75,0.42777313373586234
76,0.3843266471596817
77,0.6796472826930698
78,0.21825388786506417
79,0.9499611839502253
80,0.786345014415552
81,0.08941100231225951
82,0.41758077578492836
83,0.8791183075621647
84,0.9447320222914103
85,0.4674015112498697
86,0.6134113892107077
87,0.16703394609207523
88,0.9911686261369765
89,0.2316717013834434
90,0.9427317741351257
91,0.6496466489923685
92,0.6077367948788591
93,0.5126885110165086
94,0.2306698117177587
95,0.17652803200550826
96,0.22048620907017535
97,0.18643826214425452
98,0.7795844735667533
99,0.3501252591667301
100,0.05784267656339637
101,0.9691026301408113
102,0.8837858849634257
103,0.927752283195213
104,0.9949078226464353
105,0.1738952492194873
106,0.39624201890265875
107,0.7582384757040913
108,0.6960206180537922
109,0.15389590633985506
110,0.8158331249906178
111,0.22444057183666066
112,0.22381761482262308
113,0.5369744228934136
114,0.5929399348417032
115,0.5800862078378112
116,0.09148683739775487
117,0.8774608626303804
118,0.26560004258870606
119,0.12951492128280417
120,0.8887480798689772
121,0.9556514982297534
122,0.8621276172654506
123,0.8095160747248781
124,0.6552419806390217
125,0.5508573706091393
126,0.08698675991141014
127,0.4084532130706987
128,0.372688517012314
129,0.2597537837603262
130,0.7234201136885849
131,0.4958757350787708
132,0.08104621590764793
133,0.22018320194981134
134,0.6832587636595959
135,0.07613085949030018
136,0.8512069140487687
137,0.4951465270139743
138,0.480586577326648
139,0.5924077846595176
140,0.8246809659251492
141,0.34780920790219305
142,0.6780161525590636
143,0.5657319639957911
144,0.2670282701694213
145,0.878629986355158
146,0.7974260216069281
147,0.6584518346584255
148,0.8505817290942419
149,0.8672942009598024
150,0.7083629767150348
151,0.837013328363672
152,0.6974714616692836
153,0.6801407717603004
154,0.6186113782151843
155,0.7527166395576412
156,0.1586051052930737
157,0.8808707591989284
158,0.871843527745232
159,0.029247283034559146
160,0.8258167505647627
161,0.1288698674734452
162,0.3351188542591419
163,0.7435082562916078
164,0.1607598960483082
165,0.8179670241190622
166,0.8321341779577419
167,0.5074677337608362
168,0.00638587171683358
169,0.2870381331749128
170,0.6169269183757422
171,0.9811861780274235
172,0.6318135270166684
173,0.2598035810641598
174,0.6340057030996114
175,0.5399853797158555
176,0.7798453951511436
177,0.10698063882695841
178,0.761027902502028
179,0.5412665786761103
180,0.9629920038589946
181,0.3418721660386861
182,0.6326218931339481
183,0.9320281055100175
184,0.10250972799067926
185,0.9372284872364511
186,0.6878857223008134
187,0.0678370591051719
188,0.30096356694681625
189,0.7081720886452816
190,0.0673506014687717
191,0.5821704601762733
192,0.34588305695295674
193,0.6209155177674771
194,0.04574203381251285
195,0.8715368061523763
